TransactionID,Items
1,External Hard-Drive;﻿Digital Camera;Lab Top
2,Desk Top;Printer;Flash Drive
3,Microsoft Office;Speakers;Lab Top Case
4,Anti-Virus;External Hard-Drive;﻿Digital Camera
5,Lab Top;Desk Top;Printer
6,Flash Drive;Microsoft Office;Speakers
7,Lab Top Case;Anti-Virus;External Hard-Drive
8,﻿Digital Camera;Lab Top;Desk Top
9,Printer;Flash Drive;Microsoft Office
10,Speakers;Lab Top Case;Anti-Virus
11,External Hard-Drive;﻿Digital Camera;Lab Top
12,Desk Top;Printer;Flash Drive
13,Microsoft Office;Speakers;Lab Top Case
14,Anti-Virus;External Hard-Drive;﻿Digital Camera
15,Lab Top;Desk Top;Printer
16,Flash Drive;Microsoft Office;Speakers
17,Lab Top Case;Anti-Virus;External Hard-Drive
18,﻿Digital Camera;Lab Top;Desk Top
19,Printer;Flash Drive;Microsoft Office
20,Speakers;Lab Top Case;Anti-Virus
